Knot Name	Hyperbolic Volume	Homology	Monodromy	Three Genus
4_1	2.02988321281	Z	aB	1
6_2	4.40083251612	Z	abcD	2
6_3	5.69302109128	Z	abCD	2
7_6	7.08492595351	Z	abCd	2
7_7	7.64337517236	Z	abCF	2
8_12	8.93585692749	Z	aBcD	2
8_20	4.12490325181	Z	abCDf	2
8_21	6.78371351984	Z	abcDF	2
9_42	4.05686022424	Z	abcdF	2
9_44	7.40676757237	Z	abCDF	2
9_45	8.6020311664	Z	aBcdF	2
9_48	9.5318798358	Z	aaBAcf	2
10_132	4.05686022424	Z	abaCDf	2
10_133	7.79830023217	Z	abcDDF	2
10_136	7.74627454623	Z	aBcdf	2
10_137	9.2505562627	Z	abCdF	2
10_140	5.21256682232	Z	abbCDf	2
10_145	5.04489916292	Z	aabAcf	2
11n1	9.70047747641	Z	aBcdFF	2
11n12	8.07031335809	Z	abCDCF	2
11n28	8.06164595006	Z	abCDFF	2
11n38	4.12490325181	Z	abacdF	2
11n49	6.90911013208	Z	abbcdF	2
11n74	10.4045367402	Z	aaBACBaadf	2
11n91	9.90351545825	Z	aBBcdF	2
11n102	7.24432035087	Z	aabACf	2
11n113	11.016388303	Z	aBcBdF	2
11n116	7.7544537602	Z	abAbcdF	2
11n142	11.1808369495	Z	aaBAcDf	2
12n0013	10.0252207064	Z	abCddF	2
12n0025	8.39210362128	Z	aBacdf	2
12n0079	8.24751050753	Z	abcDDDF	2
12n0121	4.40083251612	Z	aabaCDf	2
12n0145	10.8896355883	Z	abbCdF	2
12n0282	10.5372350351	Z	abaCdF	2
12n0462	9.75716761379	Z	aaBAcBdF	2
12n0582	5.85424272207	Z	abbbCDf	2
12n0642	12.7091731144	Z	aabbcBAf	2
12n0838	11.1024255625	Z	aabacBAdCF	2
8_2	4.93524267828	Z	abcdeF	3
8_5	6.99718914779	Z	abcdeH	3
8_7	7.0221965891	Z	abcdEF	3
8_9	7.58818022364	Z	abcDEF	3
8_10	8.65114855802	Z	abcDEh	3
8_16	10.5790219169	Z	abcBdCeH	3
8_17	10.9859076063	Z	abcbDCEH	3
8_18	12.3509062092	Z	abAcBdEDCHcd	3
9_11	8.28858904286	Z	abcdEf	3
9_17	9.4745804535	Z	aBCDEf	3
9_20	9.6443040738	Z	abcDef	3
9_22	10.6207270212	Z	abcdEH	3
9_24	10.8337291089	Z	abcDEH	3
9_26	10.595840515	Z	abcDEf	3
9_27	10.9999809583	Z	abCDEf	3
9_28	11.5631770163	Z	abCdeH	3
9_29	12.2058561651	Z	abAbCDEH	3
9_30	11.9545269682	Z	abCDeH	3
9_31	11.6863122079	Z	abCDef	3
9_32	13.0998998459	Z	abcbDCeH	3
9_33	13.2804556363	Z	abcBdCEH	3
9_34	14.3445813878	Z	aabAcBeHCD	3
9_36	9.88457865313	Z	abcDeh	3
9_40	15.0183428579	Z	abacbHCBDCed	3
9_43	5.90408585851	Z	abcdEh	3
9_47	10.0499578613	Z	aabAcBEHCD	3
10_29	11.6029052467	Z	abcDeF	3
10_41	12.3766154986	Z	aBcdeF	3
10_42	13.2398483668	Z	abCDeF	3
10_43	12.6025961143	Z	abCdEF	3
10_44	12.968994205	Z	abCdeF	3
10_45	13.7160759848	Z	aBCdeF	3
10_59	13.3899441414	Z	aBcdEh	3
10_60	13.9800415357	Z	aBCDeh	3
10_69	14.1265051707	Z	abAbCDef	3
10_70	12.5108877304	Z	abcDeH	3
10_71	13.385228746	Z	abCdEH	3
10_73	13.7068808424	Z	abCDeh	3
10_75	13.4307487843	Z	abAbCDEf	3
10_78	12.502099197	Z	abCdeh	3
10_81	14.4926670316	Z	abcBDcEH	3
10_88	15.6466491718	Z	abCBdcEH	3
10_89	15.5660589231	Z	abCBehcD	3
10_96	15.1778514277	Z	abAbCDeH	3
10_105	15.1816955046	Z	abcBeHCd	3
10_107	15.352852697	Z	abcBDCEh	3
10_110	14.7774626651	Z	abcDehCD	3
10_115	16.6380380564	Z	abAcbdEDcHCD	3
10_125	4.6119613745	Z	abcdEGh	3
